"Issue Type","Summary","Description","Priority","Story Points","Epic Name","Epic Link","Sprint","Labels"
"Story","Story 2.4: Show pre-order on the manager terminal","As a restaurant manager,
I want to see each booking's pre-order lines against its booking ID on my terminal,
So that the floor team knows what is coming before the diner walks in.

Acceptance criteria: Cart changes appear on the manager terminal within 2 s of being saved.
Traces to: FR-002 / UC-03","High","3","","Epic 2: Pre-Ordering & Menu Experience","RTB Sprint 1","Lab2 PS36"
"Story","Story 2.2: Add items to the pre-order cart","As a diner,
I want to add menu items to a cart with quantity and customisation notes,
So that the kitchen prepares exactly what I asked for.

Acceptance criteria: Line total = unit price x quantity; customisation note stored with the line and shown on the ticket.
Traces to: FR-002 / UC-03","High","5","","Epic 2: Pre-Ordering & Menu Experience","RTB Sprint 2","Lab2 PS36"
"Story","Story 2.3: Edit or remove cart items","As a diner,
I want to change quantities or remove items and see the total update immediately,
So that I can correct my order before paying.

Acceptance criteria: Total recalculates in the same screen refresh; cart cannot go below zero items.
Traces to: FR-002 / UC-03","Medium","3","","Epic 2: Pre-Ordering & Menu Experience","RTB Sprint 2","Lab2 PS36"
"Story","Story 3.2: Compute cook-start times","As a diner,
I want the system to work out when each of my items must start cooking, from its prep duration and my arrival time,
So that my food is ready when I sit down rather than 20 minutes later.

Acceptance criteria: For a 19:30 booking with 10-min and 25-min items, cook-start times are 19:20 and 19:05 (± 1 min).
Traces to: FR-003 / UC-04","High","8","","Epic 3: Kitchen Preparation Orchestration","RTB Sprint 2","Lab2 PS36"
"Story","Story 4.1: Pay the pre-order through the gateway","As a diner,
I want to pay my pre-order amount or deposit inside the app,
So that my booking is confirmed and the kitchen can commit to preparing it.

Acceptance criteria: On authorisation the booking becomes CONFIRMED; on decline it stays PENDING and the hold is released after 2 failed attempts.
Traces to: FR-004 / UC-05","Highest","8","","Epic 4: Payments & Confirmation","RTB Sprint 2","Lab2 PS36"
"Story","Story 4.2: Store payment tokens, never card data","As a restaurant owner,
I want card details captured by the gateway and kept only as a token, with TLS 1.2+ everywhere,
So that a breach of our database exposes no cardholder data.

Acceptance criteria: Scan of DB, logs and backups finds no PAN or CVV; endpoint scores A on a TLS configuration test.
Traces to: NFR-002 / UC-05","Highest","5","","Epic 4: Payments & Confirmation","RTB Sprint 2","Lab2 PS36"
"Story","Story 4.3: Receive a digital confirmation with QR code","As a diner,
I want a confirmation with my booking ID, table number, itemised pre-order and a QR check-in code,
So that I can check in at the door without explaining my booking.

Acceptance criteria: Confirmation delivered by push and e-mail within 30 s of authorisation; QR scans successfully at the host stand.
Traces to: FR-004 / UC-05","High","3","","Epic 4: Payments & Confirmation","RTB Sprint 2","Lab2 PS36"
"Story","Story 3.1: Maintain item prep durations","As a restaurant manager,
I want to set and update the standard prep duration for every menu item,
So that the timeline reflects how my kitchen actually cooks.

Acceptance criteria: Duration changes take effect for bookings created after the change; existing tickets are unaffected.
Traces to: FR-003 / UC-04","Medium","3","","Epic 3: Kitchen Preparation Orchestration","","Lab2 PS36"
"Story","Story 3.3: Release the ticket to the KDS on time","As a kitchen staff member,
I want the pre-order ticket to appear on the Kitchen Display System at the computed cook-start time,
So that I start each dish at the right moment without watching the clock.

Acceptance criteria: Dispatch timestamps written to the audit log; no ticket released more than 60 s early or late.
Traces to: FR-003 / UC-04","High","5","","Epic 3: Kitchen Preparation Orchestration","","Lab2 PS36"
"Story","Story 3.4: See the estimated serve time","As a diner,
I want to see when my food is expected to reach the table,
So that I know what to expect before I confirm the booking.

Acceptance criteria: Estimate shown on the confirmation screen and recalculated if the cart changes.
Traces to: FR-003 / UC-04","Medium","2","","Epic 3: Kitchen Preparation Orchestration","","Lab2 PS36"
"Story","Story 4.4: Apply a promo code","As a diner,
I want to apply a promo code before the payment is authorised,
So that I get the discount I was offered.

Acceptance criteria: Valid code reduces the total before authorisation; invalid or expired code shows a reason and leaves the total unchanged.
Traces to: FR-004 / UC-06","Low","2","","Epic 4: Payments & Confirmation","","Lab2 PS36"
"Story","Story 5.1: Update table status on the floor terminal","As a restaurant manager,
I want to move a table through Available, Reserved, Seated and Billed from my terminal,
So that the floor plan always shows the true state of my restaurant.

Acceptance criteria: Only valid transitions are offered; every change is written to the reservation history.
Traces to: FR-005 / UC-07","High","5","","Epic 5: Floor Operations & Reservation Lifecycle","","Lab2 PS36"
"Story","Story 5.2: Sync status changes in under 500 ms","As a restaurant manager,
I want a status change on one terminal to appear on every other terminal and on the diner app in under half a second,
So that two hosts never seat two parties at the same table.

Acceptance criteria: Benchmark at 200 concurrent sessions and 50 changes/min reports p95 ≤ 500 ms, p99 ≤ 800 ms.
Traces to: NFR-001 / UC-07","Highest","8","","Epic 5: Floor Operations & Reservation Lifecycle","","Lab2 PS36"
"Story","Story 5.3: Auto-release a no-show table","As a restaurant manager,
I want a reserved table to return to Available if the diner is not marked Seated within 15 minutes of the slot,
So that I can sell the cover to a walk-in instead of holding an empty table.

Acceptance criteria: Table released at slot + 15 min, booking flagged NO_SHOW, diner notified; grace period configurable.
Traces to: FR-005 / UC-08","Medium","5","","Epic 5: Floor Operations & Reservation Lifecycle","","Lab2 PS36"
"Story","Story 5.4: Cancel a reservation","As a diner,
I want to cancel my booking up to 60 minutes before the slot,
So that I am not charged for a meal I cannot attend and the table is freed.

Acceptance criteria: Cancellation before the cutoff releases the table immediately and triggers the refund rule; after the cutoff it is refused with the policy shown.
Traces to: FR-005 / UC-08","Medium","3","","Epic 5: Floor Operations & Reservation Lifecycle","","Lab2 PS36"
